playerId,season,name,salary,team,position,gamesPlayed,primaryAssists,secondaryAssists,shotsOnGoal,points,goals,hits,shotsBlockedByPlayer
8476453,2023,Nikita Kucherov,9.5,TBL,R,81,62,38,306,144,44,45,35
8477492,2023,Nathan MacKinnon,12.6,COL,C,82,50,39,405,140,51,55,69
8478402,2023,Connor McDavid,12.5,EDM,C,76,62,38,263,132,32,118,39
8478550,2023,Artemi Panarin,11.64,NYR,L,82,37,34,303,120,49,18,15
8477956,2023,David Pastrnak,11.25,BOS,R,82,39,24,382,110,47,70,19
8479318,2023,Auston Matthews,13.25,TOR,C,81,24,14,369,107,69,89,93
8477934,2023,Leon Draisaitl,8.5,EDM,C,81,38,27,217,106,41,58,26
8478420,2023,Mikko Rantanen,9.25,COL,R,80,36,26,271,104,42,53,49
8476468,2023,J.T. Miller,8,VAN,C,81,44,22,194,103,37,216,61
8477939,2023,William Nylander,11.5,TOR,R,82,36,22,316,98,40,32,29
8478864,2023,Kirill Kaprizov,9,MIN,L,75,33,17,277,96,46,55,38
8471675,2023,Sidney Crosby,8.7,PIT,C,82,34,18,278,94,42,101,37
8477933,2023,Sam Reinhart,8.63,FLA,C,82,22,15,233,94,57,78,66
8476887,2023,Filip Forsberg,8.5,NSH,L,82,25,21,347,94,48,141,44
8480800,2023,Quinn Hughes,7.85,VAN,D,82,35,40,199,92,17,29,55
8480069,2023,Cale Makar,9,COL,D,77,28,41,231,90,21,37,148
8478010,2023,Brayden Point,9.5,TBL,C,81,26,18,228,90,46,16,44
8480012,2023,Elias Pettersson,11.6,VAN,C,82,31,24,207,89,34,125,68
8478427,2023,Sebastian Aho,9.75,CAR,C,78,34,19,216,89,36,48,18
8479314,2023,Matthew Tkachuk,9.5,FLA,L,80,43,19,281,88,26,151,28
8480023,2023,Robert Thomas,8.13,STL,C,82,35,25,170,86,26,16,47
8478483,2023,Mitch Marner,10.9,TOR,R,69,40,19,158,85,26,59,51
8474600,2023,Roman Josi,9.06,NSH,D,82,38,24,268,85,23,46,151
8479407,2023,Jesper Bratt,7.88,NJD,L,82,36,20,248,83,27,66,33
8480803,2023,Evan Bouchard,3.9,EDM,D,81,25,39,220,82,18,71,105
8474564,2023,Steven Stamkos,8,TBL,C,79,18,23,262,81,40,78,43
8478445,2023,Mathew Barzal,9.15,NYI,C,80,38,19,240,80,23,54,52
8480027,2023,Jason Robertson,7.75,DAL,L,82,23,28,231,80,29,77,31
8477493,2023,Aleksander Barkov,10,FLA,C,73,35,22,194,80,23,104,50
8476389,2023,Vincent Trocheck,5.63,NYR,C,82,37,15,215,77,25,175,86
8475786,2023,Zach Hyman,5.5,EDM,L,80,11,12,290,77,54,87,37
8477404,2023,Jake Guentzel,9,CAR,C,67,33,14,238,77,30,48,28
8480018,2023,Nick Suzuki,7.88,MTL,C,82,25,19,185,77,33,69,48
8475167,2023,Victor Hedman,7.88,TBL,D,78,32,31,168,76,13,65,102
8479343,2023,Clayton Keller,7.15,ARI,R,78,27,16,228,76,33,20,30
8475172,2023,Nazem Kadri,7,CGY,C,82,28,18,277,75,29,57,24
8477960,2023,Adrian Kempe,5.5,LAK,R,77,25,22,246,75,28,112,32
8474679,2023,Gustav Nyquist,3.19,NSH,C,81,34,18,153,75,23,36,38
8475184,2023,Chris Kreider,6.5,NYR,L,82,23,13,246,75,39,99,20
8479542,2023,Brandon Hagel,6.5,TBL,L,82,38,11,184,75,26,55,45
8480801,2023,Brady Tkachuk,8.21,OTT,L,81,28,9,357,74,37,294,34
8481559,2023,Jack Hughes,8,NJD,C,62,29,18,274,74,27,10,24
8479323,2023,Adam Fox,9.5,NYR,D,72,25,31,137,73,17,44,123
8478444,2023,Brock Boeser,6.65,VAN,R,81,22,11,204,73,40,56,29
8477942,2023,Kevin Fiala,7.88,LAK,L,82,21,23,225,73,29,67,28
8476460,2023,Mark Scheifele,8.5,WPG,C,74,32,15,154,72,25,63,40
8476459,2023,Mika Zibanejad,8.5,NYR,C,81,30,16,221,72,26,49,55
8482078,2023,Lucas Raymond,3.43,DET,L,82,24,17,163,72,31,69,27
8477409,2023,Carter Verhaeghe,4.17,FLA,C,76,24,14,246,72,34,63,20
8482116,2023,Tim Stutzle,8.35,OTT,C,75,19,33,192,70,18,100,41
8471685,2023,Anze Kopitar,7,LAK,C,81,29,15,133,70,26,37,65
8480865,2023,Noah Dobson,4,NYI,D,79,35,25,174,70,10,84,180
8475158,2023,Ryan O'Reilly,4.5,NSH,C,82,15,28,180,69,26,25,56
8476539,2023,Jonathan Marchessault,5.5,VGK,R,82,17,10,266,69,42,107,23
8477504,2023,Josh Morrissey,6.25,WPG,D,81,28,31,196,69,10,90,103
8481557,2023,Matt Boldy,7,MIN,L,75,26,14,227,69,29,33,32
8477946,2023,Dylan Larkin,8.7,DET,C,68,26,10,221,69,33,44,34
8475754,2023,Brock Nelson,6,NYI,C,82,23,12,250,69,34,38,47
8478439,2023,Travis Konecny,5.5,PHI,R,76,23,12,244,68,33,90,32
8477500,2023,Bo Horvat,8.5,NYI,C,81,19,16,248,68,33,61,42
8478403,2023,Jack Eichel,10,VGK,C,63,21,16,278,68,31,26,61
8479385,2023,Jordan Kyrou,8.13,STL,C,82,22,14,251,67,31,26,32
8478440,2023,Dylan Strome,5,WSH,C,82,31,9,169,67,27,12,61
8476454,2023,Ryan Nugent-Hopkins,5.13,EDM,C,80,29,20,183,67,18,62,33
8473419,2023,Brad Marchand,6.13,BOS,L,82,21,17,207,67,29,115,35
8471215,2023,Evgeni Malkin,6.1,PIT,C,82,24,16,199,67,27,29,42
8479337,2023,Alex DeBrincat,7.88,DET,R,82,26,14,237,67,27,65,35
8480002,2023,Nico Hischier,7.22,NJD,C,71,24,16,182,67,27,44,42
8482093,2023,Seth Jarvis,7.9,CAR,C,81,20,14,178,67,33,115,52
8480208,2023,Drake Batherson,4.98,OTT,R,82,29,9,196,66,28,98,33
8482740,2023,Wyatt Johnston,1.03,DAL,C,82,25,8,216,65,32,52,42
8478449,2023,Roope Hintz,8.45,DAL,C,80,17,18,182,65,30,36,38
8475168,2023,Matt Duchene,3,DAL,C,80,26,14,172,65,25,30,48
8475166,2023,John Tavares,11,TOR,C,80,18,18,279,65,29,134,37
8471214,2023,Alex Ovechkin,9.5,WSH,L,79,21,13,272,65,31,162,27
8481540,2023,Cole Caufield,7.85,MTL,R,82,23,14,314,65,28,56,22
8473512,2023,Claude Giroux,6.5,OTT,R,82,27,16,183,64,21,40,30
8478493,2023,Joel Eriksson Ek,5.25,MIN,C,77,15,19,268,64,30,168,55
8477402,2023,Pavel Buchnevich,5.8,STL,L,80,21,15,207,63,27,43,28
8475692,2023,Mats Zuccarello,4.13,MIN,R,69,33,18,173,63,12,26,50
8476875,2023,Mike Matheson,4.88,MTL,D,82,24,27,187,62,11,61,186
8477955,2023,Jared McCann,5,SEA,L,80,20,13,216,62,29,45,27
8484144,2023,Connor Bedard,4.45,CHI,C,68,28,11,206,61,22,54,27
8478398,2023,Kyle Connor,7.14,WPG,L,65,13,14,221,61,34,14,19
8477951,2023,Nick Schmaltz,5.85,ARI,C,79,23,16,158,61,22,16,41
8477940,2023,Nikolaj Ehlers,6,WPG,L,82,24,12,233,61,25,30,39
8473994,2023,Jamie Benn,9.5,DAL,L,82,21,18,164,60,21,110,50
8475745,2023,Charlie Coyle,5.25,BOS,C,82,18,17,147,60,25,131,60
8478366,2023,Frank Vatrano,3.65,ANA,R,82,12,11,272,60,37,156,78
8476448,2023,William Karlsson,5.9,VGK,C,70,20,10,175,60,30,43,46
8475798,2023,Mikael Granlund,5,SJS,C,69,24,24,134,60,12,61,55
